BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;59;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;88;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;164;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;303;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;580;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;1119;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;2217;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;47;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;54;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;93;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;163;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;301;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;570;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;1126;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;37;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;36;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;53;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;85;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;161;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;288;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;569;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;38;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;40;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;40;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;47;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;87;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;160;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;313;61952;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;36;7680;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;39;13016;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;40;27344;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;41;53520;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;48;92648;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;83;67036;
OpenMP Loop;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;158;61952;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;0;951;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;1;1624;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;4;3445;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;12;6712;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;31;11574;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;67;8440;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;138;7807;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;1;951;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;3;1624;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;7;3445;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;13;6712;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;23;11574;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;41;8440;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;77;7807;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;1;951;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;2;1624;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;4;3445;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;7;6712;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;13;11574;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;21;8440;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;39;7807;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;1;951;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;1;1624;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;3;3445;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;5;6712;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;8;11574;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;12;8440;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;22;7807;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;2;951;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;2;1622;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;3;3445;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;5;6709;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;7;11574;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;7;8440;
Octree;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;12;7807;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;1;46;7680;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;1;51;13016;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;1;67;27344;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;1;85;53520;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;1;127;92648;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;1;205;67036;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;1;364;61952;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;2;35;7680;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;2;38;13016;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;2;44;27344;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;2;57;53520;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;2;78;92648;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;2;117;67036;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;2;195;61952;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;34;7680;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;44;13016;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;48;27344;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;40;53520;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;67;92648;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;83;67036;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;129;61952;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;41;7680;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;42;13016;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;50;27344;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;47;53520;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;55;92648;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;63;67036;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;91;61952;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;48;7680;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;37;13016;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;48;27344;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;50;53520;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;50;92648;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;55;67036;
Cached;/home/training/dd-20-28-209/avs2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;72;61952;
